City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,port saint john's,-31.6229,29.5448,295.02,50,3,4.31,ZA,1701330448
83,iskateley,67.6803,53.1512,263.16,96,99,3.13,RU,1701330448
84,sitka,57.0531,-135.33,281.09,57,100,10.8,US,1701330449
85,rawson,-43.3002,-65.1023,290.55,43,0,8.87,AR,1701330449
86,hermanus,-34.4187,19.2345,298.62,43,73,0.54,ZA,1701330449
87,xichang,27.8964,102.2634,291.41,57,59,0.63,CN,1701330449
88,port mathurin,-19.6833,63.4167,298.39,69,0,5.8,MU,1701330449
89,port lincoln,-34.7333,135.8667,291.6,67,100,6.03,AU,1701330450
90,mount isa,-20.7333,139.5,308.02,28,49,3.6,AU,1701330450
91,stephenville,32.2207,-98.2023,287.73,71,100,4.63,US,1701330450
92,angaur state,6.906,134.13,301.88,78,30,4.32,PW,1701330450
93,holualoa,19.6228,-155.9522,296.06,98,75,1.54,US,1701330451
94,mersing,2.4312,103.8405,303.1,79,40,6.69,MY,1701330451
95,san sebastian de la gomera,28.0916,-17.1133,294.35,77,40,4.63,ES,1701330366
96,daru,-9.0763,143.2092,301.31,75,37,3.26,PG,1701330451
97,les cayes,18.2,-73.75,296.68,86,63,1.66,HT,1701330451
98,georgetown,5.4112,100.3354,304.12,70,20,4.63,MY,1701330452
99,zalari,53.5584,102.5065,263.03,93,100,0.82,RU,1701330452
100,lihue,21.9789,-159.3672,295.92,81,40,4.63,US,1701330452
101,ouesso,1.6136,16.0517,298.16,76,92,0.96,CG,1701330452
102,atafu village,-8.5421,-172.5159,302.53,73,15,6.71,TK,1701330452
103,zhenzhou,32.2692,119.1789,279.76,31,100,4.07,CN,1701330453
104,prymors'k,46.7348,36.3443,275.28,94,100,3.34,UA,1701330453
105,jinchang,38.4953,102.1739,272.75,32,0,2.38,CN,1701330453
106,salinas,36.6777,-121.6555,286.2,92,100,2.06,US,1701330171
107,naze,28.3667,129.4833,290.66,73,100,7.85,JP,1701330453
108,badger,64.8,-147.5333,263.1,87,20,2.06,US,1701330453
109,birao,10.2849,22.7882,304.41,20,59,4.72,CF,1701330454
110,albany,42.6001,-73.9662,272.19,65,36,0.45,US,1701330164
111,gamprin,47.2204,9.5094,275.89,92,100,0.45,LI,1701330454
112,remire-montjoly,4.9167,-52.2667,297.17,94,20,0.0,GF,1701330454
113,college,64.8569,-147.8028,263.14,85,75,2.06,US,1701330454
114,aldama,22.9167,-98.0667,293.91,90,100,1.88,MX,1701330455
115,ola,59.5833,151.2833,256.69,85,12,2.88,RU,1701330455
116,jilib,0.4883,42.7854,306.54,45,49,4.14,SO,1701330455
117,bhawanipatna,19.9,83.1667,304.99,34,14,1.7,IN,1701330456
118,ust-nera,64.5667,143.2,248.71,99,100,2.93,RU,1701330456
119,constantia,44.1833,28.65,275.76,72,72,1.43,RO,1701330246
120,sassandra,4.95,-6.0833,299.79,80,26,1.22,CI,1701330456
121,invercargill,-46.4,168.35,282.81,71,62,1.96,NZ,1701330456
122,timimoun,29.2639,0.231,279.36,28,0,2.06,DZ,1701330456
123,taft,31.7471,54.2088,287.12,36,0,1.03,IR,1701330457
